time,reward,position,bar_return,cost,strategy_ret,equity
2021-02-15 05:00:00+00:00,0.006355276266217019,-1,-0.006355276266217019,0.0,0.006355276266217019,0.0006834824857755439
2021-02-15 05:30:00+00:00,-0.004702001858758342,1,0.0033020018587583424,0.0008,-0.004702001858758342,0.0006802687498569986
2021-02-15 06:00:00+00:00,0.004967597274888432,-1,0.006367597274888432,0.0008,0.004967597274888432,0.0006836480510449799
2021-02-15 06:30:00+00:00,0.0028209272649936073,-1,-0.0028209272649936073,0.0,0.0028209272649936073,0.0006855765724718323
2021-02-15 07:00:00+00:00,-0.00943841376439197,1,0.00803841376439197,0.0008,-0.00943841376439197,0.0006791058171136695
2021-02-15 07:30:00+00:00,5.9241380273289675e-05,1,5.9241380273289675e-05,0.0,5.9241380273289675e-05,0.000679146048279627
2021-02-15 08:00:00+00:00,0.0021802946068573597,-1,0.0035802946068573594,0.0008,0.0021802946068573597,0.0006806267867459595
2021-02-15 08:30:00+00:00,-0.004150944414076166,0,0.0034509444140761658,0.0004,-0.004150944414076166,0.0006778015427874458
2021-02-15 09:00:00+00:00,-0.0,0,-0.000601890882750216,0.0,-0.0,0.0006778015427874458
2021-02-15 09:30:00+00:00,-0.0,0,-0.0013806632312647284,0.0,-0.0,0.0006778015427874458
2021-02-15 10:00:00+00:00,0.0,0,0.0017296886307862735,0.0,0.0,0.0006778015427874458
2021-02-15 10:30:00+00:00,-0.0007,-1,0.005508971516456964,0.0004,-0.0007,0.0006773270817074945
2021-02-15 11:00:00+00:00,-0.0023475449002184063,-1,0.0023475449002184063,0.0,-0.0023475449002184063,0.0006757370259710523
2021-02-15 11:30:00+00:00,0.0033288631575786203,-1,-0.0033288631575786203,0.0,0.0033288631575786203,0.000677986462061019
2021-02-15 12:00:00+00:00,0.0026680523636132564,-1,-0.0026680523636132564,0.0,0.0026680523636132564,0.0006797953654436188
2021-02-15 12:30:00+00:00,-0.005786875837963269,-1,0.005786875837963269,0.0,-0.005786875837963269,0.0006758614740685737
2021-02-15 13:00:00+00:00,-0.0020641900973513575,-1,0.0020641900973513575,0.0,-0.0020641900973513575,0.0006744663675066201
2021-02-15 13:30:00+00:00,0.001857648669645816,-1,-0.001857648669645816,0.0,0.001857648669645816,0.0006757192890569396
2021-02-15 14:00:00+00:00,0.002725980192545135,-1,-0.002725980192545135,0.0,0.002725980192545135,0.0006775612864546296
2021-02-15 14:30:00+00:00,0.005557810068536382,-1,-0.005557810068536382,0.0,0.005557810068536382,0.0006813270433945375
2021-02-15 15:00:00+00:00,-0.006652273981081548,1,0.005252273981081548,0.0008,-0.006652273981081548,0.0006767946692311568
2021-02-15 15:30:00+00:00,0.0026111610035391016,1,0.0026111610035391016,0.0,0.0026111610035391016,0.0006785618890788564
2021-02-15 16:00:00+00:00,0.010871562781152528,1,0.010871562781152528,0.0,0.010871562781152528,0.0006859389172568746
2021-02-15 16:30:00+00:00,0.0007214197276103823,1,0.0007214197276103823,0.0,0.0007214197276103823,0.0006864337671237194
2021-02-15 17:00:00+00:00,0.0037904969918523433,1,0.0037904969918523433,0.0,0.0037904969918523433,0.0006890356922531078
2021-02-15 17:30:00+00:00,-0.0023926236442244684,1,-0.0023926236442244684,0.0,-0.0023926236442244684,0.0006873870891641084
2021-02-15 18:00:00+00:00,-0.003008300058213798,1,-0.003008300058213798,0.0,-0.003008300058213798,0.0006853192225437605
2021-02-15 18:30:00+00:00,-0.0011820418859630761,1,-0.0011820418859630761,0.0,-0.0011820418859630761,0.0006845091465174581
2021-02-15 19:00:00+00:00,0.00275626103853701,1,0.00275626103853701,0.0,0.00275626103853701,0.0006863958324085265
2021-02-15 19:30:00+00:00,0.00340322212112936,1,0.00340322212112936,0.0,0.00340322212112936,0.0006887317898892301
2021-02-15 20:00:00+00:00,0.0008771549434196073,1,0.0008771549434196073,0.0,0.0008771549434196073,0.0006893359143834217
2021-02-15 20:30:00+00:00,-0.002443532329267419,1,-0.002443532329267419,0.0,-0.002443532329267419,0.0006876514997909008
2021-02-15 21:00:00+00:00,-0.004328442051098565,1,-0.004328442051098565,0.0,-0.004328442051098565,0.0006846750401227048
2021-02-15 21:30:00+00:00,-0.0033733224093671203,1,-0.0033733224093671203,0.0,-0.0033733224093671203,0.0006823654104667245
2021-02-15 22:00:00+00:00,-0.006898713354798849,1,-0.006898713354798849,0.0,-0.006898713354798849,0.0006776579670966849
2021-02-15 22:30:00+00:00,0.008562303015542323,1,0.008562303015542323,0.0,0.008562303015542323,0.0006834602799518631
2021-02-15 23:00:00+00:00,0.0004521083096596419,1,0.0004521083096596419,0.0,0.0004521083096596419,0.0006837692780237516
2021-02-15 23:30:00+00:00,-0.008189750825558072,1,-0.008189750825558072,0.0,-0.008189750825558072,0.0006781693780145653
2021-02-16 00:00:00+00:00,-0.005643159935797662,1,-0.005643159935797662,0.0,-0.005643159935797662,0.0006743423597508687
2021-02-16 00:30:00+00:00,0.0005938196161140603,1,0.0005938196161140603,0.0,0.0005938196161140603,0.0006747427974720655
2021-02-16 01:00:00+00:00,0.010509760846772291,1,0.010509760846772291,0.0,0.010509760846772291,0.0006818341829065791
2021-02-16 01:30:00+00:00,0.002808178781777226,1,0.002808178781777226,0.0,0.002808178781777226,0.0006837488951917078
2021-02-16 02:00:00+00:00,0.0029925570041205145,0,0.0036925570041205147,0.0004,0.0029925570041205145,0.0006857950527370734
2021-02-16 02:30:00+00:00,-0.0,0,-0.000857814954113475,0.0,-0.0,0.0006857950527370734
2021-02-16 03:00:00+00:00,-0.0007,-1,0.01807953666710303,0.0004,-0.0007,0.0006853149962001574
2021-02-16 03:30:00+00:00,-0.006907891784458579,0,0.006207891784458579,0.0004,-0.006907891784458579,0.0006805809143681401
2021-02-16 04:00:00+00:00,-0.0,0,-0.0023129923144089436,0.0,-0.0,0.0006805809143681401
2021-02-16 04:30:00+00:00,-0.0,0,-0.0032163686583819785,0.0,-0.0,0.0006805809143681401
2021-02-16 05:00:00+00:00,-0.0,0,-0.0019213775235303843,0.0,-0.0,0.0006805809143681401
2021-02-16 05:30:00+00:00,-0.0,0,-0.0015462329959544058,0.0,-0.0,0.0006805809143681401
2021-02-16 06:00:00+00:00,-0.0,0,-0.008741734027694247,0.0,-0.0,0.0006805809143681401
